Summary A new method for transforming grammars into equivalent LL(k) grammars is studied. The applicability of the transformation is characterized by defining a subclass of LR(k) grammars, called predictive LR(k) grammars, with the property that a grammar is predictive LR(k) if and only if the corresponding transformed grammar is LL(k). Furthermore, it is shown that deterministic bottom-up parsing of a predictive LR(k) grammar can be done by the LL(k) parser of the transformed grammar. This parsing method is possible since the transformed grammar always ‘left-to-right covers’ the original grammar. The class of predictive LR(k) grammars strictly includes the class of LC(k) grammars (the grammars that can be parsed deterministically in the left-corner manner). Thus our transformation is more powerful than the one previously available, which transforms LC(k) grammars into LL(k) form.
deterministic       0.9999997486459936^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Deterministic_finite_automaton

LL                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/LL_parser             

grammar                       0.9999999981424708^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Formal_grammar        

bottom-up parsing             1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Bottom-up_parsing     

LL                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/LL_parser             

grammar                       0.9999999981424708^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Formal_grammar        

grammars                      0.9999999997852456^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Formal_grammar        

deterministically             0.9969192984232462^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Determinism           

subclass                      0.9320928962532418^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Inheritance_(object-oriented_programming)

parsing                       0.9999941760247198^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Parsing               

grammars                      0.9999999997852456^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Formal_grammar        

grammars                      0.9999999997852456^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Formal_grammar        

LR                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/LR_parser             

LR                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/LR_parser             

parser                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Parsing               

LR                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/LR_parser             

grammar                       0.9999999981424708^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Formal_grammar        

grammars                      0.9999999997852456^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Formal_grammar        

LR                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/LR_parser             

LC                            0.9872383111112941^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/LC_circuit            

LL                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/LL_parser             

parsed                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Parsing               

grammars                      0.9999999997852456^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Formal_grammar        

LR                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/LR_parser             

LC                            0.9872383111112941^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/LC_circuit            

grammars                      0.9999999997852456^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Formal_grammar        

grammars                      0.9999999997852456^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Formal_grammar        

grammar                       0.9999999981424708^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Formal_grammar        

grammar                       0.9999999981424708^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Formal_grammar        

grammars                      0.9999999997852456^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Formal_grammar        

LL                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/LL_parser             

grammar                       0.9999999981424708^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Formal_grammar        

